"No.","Time","Source","Destination","Protocol","Length","Info"
"333","81.443317233","192.168.153.128","192.168.153.1","DNS","92","Standard query 0x826e HTTPS mobile.events.data.microsoft.com"
"334","81.557082854","192.168.153.128","192.168.153.1","DNS","92","Standard query 0x818a A mobile.events.data.microsoft.com"
"335","81.557236791","192.168.153.128","192.168.153.1","DNS","92","Standard query 0x4d96 AAAA mobile.events.data.microsoft.com"
"336","82.240814308","192.168.153.128","192.168.153.1","DNS","104","Standard query 0xad5f A mobile.events.data.microsoft.com.localdomain"
"337","82.383766521","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"338","82.458188985","192.168.153.128","192.168.153.1","DNS","92","Standard query 0xb419 A mobile.events.data.microsoft.com"
"339","82.458595016","192.168.153.128","192.168.153.1","DNS","92","Standard query 0x27b3 HTTPS mobile.events.data.microsoft.com"
"340","82.612605031","192.168.153.128","192.168.153.1","DNS","86","Standard query 0x368a A api.github.com.localdomain"
"341","83.205365806","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x5dfa A update.code.visualstudio.com"
"342","83.242488302","192.168.153.128","192.168.153.1","DNS","88","Standard query 0x4944 A update.code.visualstudio.com"
"343","83.804378529","192.168.153.128","192.168.153.1","DNS","92","Standard query 0xc8e2 A education.github.com.localdomain"
"344","84.069673249","192.168.153.128","192.168.153.1","DNS","86","Standard query 0xe39c A api.github.com.localdomain"
"345","84.224818198","192.168.153.128","192.168.153.1","DNS","92","Standard query 0xeea2 A mobile.events.data.microsoft.com"
"346","84.482847440","192.168.153.128","192.168.153.1","DNS","92","Standard query 0xaa9e A mobile.events.data.microsoft.com"
"347","84.495280616","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"348","84.607805269","192.168.153.128","192.168.153.1","DNS","74","Standard query 0x71cd A api.github.com"
"349","84.808848424","192.168.153.128","192.168.153.1","DNS","100","Standard query 0xd1ed A marketplace.visualstudio.com.localdomain"
"350","85.696886539","192.168.153.128","192.168.153.1","DNS","104","Standard query 0x901c A mobile.events.data.microsoft.com.localdomain"
"351","85.697006478","192.168.153.128","192.168.153.1","DNS","104","Standard query 0x6a15 AAAA mobile.events.data.microsoft.com.localdomain"
"352","85.784779990","192.168.153.128","192.168.153.1","DNS","80","Standard query 0xaae0 A education.github.com"
"353","85.816642894","192.168.153.128","192.168.153.1","DNS","100","Standard query 0xe01f A marketplace.visualstudio.com.localdomain"
"354","86.044865407","192.168.153.128","192.168.153.1","DNS","74","Standard query 0x7bbf A api.github.com"
"355","86.285538420","192.168.153.128","192.168.153.1","DNS","101","Standard query 0x65c0 A avatars.githubusercontent.com.localdomain"
"356","86.285688534","192.168.153.128","192.168.153.1","DNS","91","Standard query 0x2b47 A default.exp-tas.com.localdomain"
"357","86.383710940","192.168.153.128","192.168.153.1","DNS","80","Standard query 0x8f99 A www.vscode-unpkg.net"
"358","86.568807879","192.168.153.128","192.168.153.1","DNS","104","Standard query 0xe966 A mobile.events.data.microsoft.com.localdomain"
"359","86.568991651","192.168.153.128","192.168.153.1","DNS","104","Standard query 0xb561 AAAA mobile.events.data.microsoft.com.localdomain"
"360","86.618500258","192.168.153.1","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _XSplitCam._tcp.local, ""QU"" question"
"361","87.376666077","192.168.153.128","192.168.153.1","DNS","80","Standard query 0x9fe1 A www.vscode-unpkg.net"
